RFID,Retail_CycleCountDate,Retail_CycleCountDate_ts,Retail_Disposition,Retail_Product_Color,Retail_Product_ImageURL,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2,Retail_Product_Level2Name,Retail_Product_Level3,Retail_Product_Level3Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_Product_UOM,Retail_Product_UPC,Retail_StoreNumber,Retail_ZoneName,Retail_ZoneType,shardId,viz_groupCode,viz_groupId,viz_id,viz_serialNumber,viz_source,viz_thingTypeCode,viz_time
303405D0443A9DC28FA6AF86,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,PINK,,C,VESTUARIO,,CH,CHD,CHD,SAPATILHA  CH SLO MOLECA LONA SIDER 5726,9524960002,35,SAPATILHA,,00095249600234,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.12975053632814385,303405D0443A9DC28FA6AF86,MOBILE,ITEM,2022-08-16 12:38:41.571
303405E9782718828FA6B107,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,VERMELHO,,C,VESTUARIO,,CZ,CZA,CZA,BLUSA SEM MANGA PLUS PRD VIVA PLUS Blusa,9686240003,50,BLUSA MALHA,,00096862400348,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.14295241338623585,303405E9782718828FA6B107,MOBILE,ITEM,2022-08-16 12:38:41.571
303405D4600011428FA6B1AB,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,VERMELHO,,C,VESTUARIO,,CT,CTA,CTA,BLUSA MANGA LONGA CF PRD EVT MAES VIVA C,9551200006,GG,TOP PLANO,,00095512000693,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13206821414806124,303405D4600011428FA6B1AB,MOBILE,ITEM,2022-08-16 12:38:41.571
303405CF14138B828FA6AE21,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,CRU,,C,VESTUARIO,,CW,CWA,CWA,BLUSA MANGA CURTA ESS PRD COORD E VIVA B,9517320001,M,BLUSA MALHA,,00095173200142,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13313139321301043,303405CF14138B828FA6AE21,MOBILE,ITEM,2022-08-16 12:38:41.571
303405EA6C4E25428FA6AE38,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,JEANS,,C,VESTUARIO,,CY,CYA,CYA,CALCA CY SAW MARCA DE TERCEIROS WIDE LEG,9692380002,36,CALÇA JEANS,,00096923800216,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.14012017819413333,303405EA6C4E25428FA6AE38,MOBILE,ITEM,2022-08-16 12:38:41.571
303405A96009CDC28FA6B4CF,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,AZUL,,C,VESTUARIO,,CL,CLA,CLA,CALCA ESS SLO ID CASUAL BARRA SEM RIB E,9276010003,G,BOTTOM MOLETOM,,00092760100397,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13157114455919451,303405A96009CDC28FA6B4CF,MOBILE,ITEM,2022-08-16 12:38:41.571
303405E04057F1C28FA6B106,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,BRANCO,,C,VESTUARIO,,CH,CHF,CHF,TENIS  C1 SLO MARCA DE TERCEIROS 17053PE,9627290005,38,TÊNIS,,00096272900551,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13631157852022932,303405E04057F1C28FA6B106,MOBILE,ITEM,2022-08-16 12:38:41.571
303405D04430DF028FA6AFB4,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,LARANJA,,C,VESTUARIO,,CH,CHD,CHD,SAPATILHA  CH SLO MOLECA LONA SIDER 5109,9524950004,37,SAPATILHA,,00095249500442,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.12975497026416184,303405D04430DF028FA6AFB4,MOBILE,ITEM,2022-08-16 12:38:41.571
3035E227444ADA44A818897F,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,NA,,W,BELEZA,,WA,WAC,WAC,COLONIA DESODORANTE FEMININA ELIANA CRIS,8686750000,NA,PERFUME,,07899601766490,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13631337293616977,3035E227444ADA44A818897F,MOBILE,ITEM,2022-08-16 12:38:41.571
303405E0941396C28FA6AEC9,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,BEGE,,C,VESTUARIO,,CT,CTA,CTA,SHORT CF SLO COORD 3 VIVA CASUAL SHORTS,9629320005,38,BERMUDA/SHORTS,,00096293200593,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13733817989400402,303405E0941396C28FA6AEC9,MOBILE,ITEM,2022-08-16 12:38:41.571
