Retail_Clearance,Retail_InTransitQTY,Retail_Product_Color,Retail_Product_Dimension,Retail_Product_ExternalSKU,Retail_Product_ImageURL,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2,Retail_Product_Level2Name,Retail_Product_Level3,Retail_Product_Level3Name,Retail_Product_Level4,Retail_Product_Level4Name,Retail_Product_Level5,Retail_Product_Level5Name,Retail_Product_Manufacturer,Retail_Product_Name,Retail_Product_RFIDTagged,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_Product_UOM,Retail_Product_UPC,Retail_Product_UPCs,Retail_SFMax,Retail_SFMin,Retail_SOHDate,Retail_SOHQTY,Retail_SOHQTY_SF,Retail_SOHQTY_SR,Retail_StoreInProcess,Retail_StoreNumber,serial,thingTypeId
false,0,VERDE,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYA,CYA,CYAEA,CYAE,NaVal,CYAEA,NaVal,SHORT   INK LISO 07FE00754 VERDE 36 VERD,NaVal,9585500009,36,BOTTOM CURTO SARJA,NaVal,00095855000909,00095855000909,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009585500009,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,NaVal,CYC,NaVal,CYCE,JEANS,CYCEA,NaVal,BLUSA MANGA CURTA JEANS PS PRD INK MANGA,NaVal,9427230004,50,TOP PLUS,NaVal,00094272300418,00094272300418,0,0,2022-08-16 07:00:36.468,2,2,0,0,233,233_009427230004,384
false,0,VERDE,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,NaVal,CYA,NaVal,CYAE,JEANS,CYAEA,NaVal,SHORT JEANS CRN MSA INK AMASSADINHO VERD,NaVal,9630400003,38,BOTTOM CURTO SARJA,NaVal,00096304000365,00096304000365,0,0,2022-08-16 07:00:36.468,2,2,0,0,233,233_009630400003,384
false,0,VERDE,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYA,CYA,CYABC,CYAB,SARJA,CYABC,NaVal,CALCA SARJA CRN MSA INK PUSH UP BOLSO SE,NaVal,9415660009,44,CALÇA SARJA,NaVal,00094156600962,00094156600962,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009415660009,384
false,0,PRETO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CJ,NaVal,CJA,NaVal,CJAS,CJ,CJASB,NaVal,SHORT DOLL SEM MANGA CJ ELLA LISO PRETO,NaVal,9649150004,P,SHORT DOLL,NaVal,00096491500433,00096491500433,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009649150004,384
false,0,VINHO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CM,CMB,CMB,CMBAB,CMBA,CM,CMBAB,NaVal,CALCA CM MSA INK SLIM VINHO EMP 5 POCKET,NaVal,9440750005,40,CALÇA SARJA,NaVal,00094407500522,00094407500522,0,0,2022-08-16 07:00:36.468,2,2,0,0,233,233_009440750005,384
false,0,VERDE,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CR,CRA,CRA,CRASB,CRAS,CR,CRASB,NaVal,SHORT DOLL SEM MANGA CR PRD ELLA RENDA F,NaVal,9470370001,M,SHORT DOLL,NaVal,00094703700114,00094703700114,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009470370001,384
false,0,PRETO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,C8,NaVal,C8A,NaVal,C8AA,C8  INFO,C8AAB,NaVal,CALCA C8 SLO EVT LCM INFO INK COS DE ELA,NaVal,9275450001,8,CALÇA,NaVal,00092754500196,00092754500196,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_009275450001,384
false,0,MARROM,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,C5,C5A,C5A,C5ABC,C5AB,C5,C5ABC,NaVal,OCULOS  C5 MSA MAIS ACESSORIOS MET UNI M,NaVal,9683600001,UNICO,ÓCULOS METAL,NaVal,00096836000130,00096836000130,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009683600001,384
false,0,BRANCO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,C6,C6A,C6A,C6ABA,C6AB,KIT TRS,C6ABA,NaVal,3 CALCINHAS APP TRS MFB GATINHOS BRC PIN,NaVal,7797270004,GG,CALCINHA / BOTTOM,NaVal,00077972700412,00077972700412,0,0,2022-08-16 07:00:36.468,4,4,0,0,233,233_007797270004,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CM,CMC,CMC,CMCBA,CMCB,JEANS,CMCBA,NaVal,BERMUDA JEANS EVT PAIS  INK LISO 02MA006,NaVal,9571220001,36,BERMUDA JOVEM,NaVal,00095712200145,00095712200145,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009571220001,384
false,0,NA,NaVal,NaVal,NaVal,H,ELETRO-ELETRONICOS,NaVal,HB,HBH,HBH,HBHFB,HBHF,NOKIA C30 BCO 64GB,HBHFB,NaVal,NOKIA C30 BRANCO 64GB NK043,NaVal,9639750000,NA,OUTROS,NaVal,00096397500056,00096397500056,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_009639750000,384
false,0,ROSA,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CN,CNC,CNC,CNCSC,CNCS,JV CN,CNCSC,NaVal,SHORT DOLL MANGA CURTA JV CN PRD MICKEY,NaVal,9353140003,M,SHORT DOLL,NaVal,00093531400357,00093531400357,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_009353140003,384
